MSE,objective,max_depth,learning_rate,colsample_bytree,n_estimators,Nodes NO
4321.0001304170755,reg:squarederror,4,0.72,0.8,130,1950
4326.330714196195,reg:squarederror,4,0.76,1.0,130,1950
4327.283200818467,reg:squarederror,4,0.68,0.9,130,1950
4331.326024800041,reg:squarederror,4,0.68,1.0,130,1950
4332.7289188547265,reg:squarederror,4,0.71,0.9,130,1949
4335.344293242184,reg:squarederror,4,0.6,1.0,130,1950
4338.286588674741,reg:squarederror,4,0.74,1.0,130,1949
4340.912838588898,reg:squarederror,4,0.71,1.0,130,1950
4341.484701265066,reg:squarederror,4,0.5,0.9,130,1950
4348.338391786599,reg:squarederror,4,0.77,0.8,130,1949
4348.928186230347,reg:squarederror,4,0.69,0.9,130,1949
4350.325916648411,reg:squarederror,4,0.75,0.8,130,1948
4350.919782653805,reg:squarederror,4,0.75,1.0,130,1950
4351.0794970228535,reg:squarederror,4,0.78,1.0,130,1950
4352.026585740784,reg:squarederror,4,0.78,0.9,130,1950
4353.104784114931,reg:squarederror,4,0.48,1.0,130,1949
4353.969021262161,reg:squarederror,4,0.53,1.0,130,1949
4355.044757774814,reg:squarederror,4,0.73,1.0,130,1950
4355.217131603697,reg:squarederror,4,0.7,0.9,130,1950
4356.7101960312075,reg:squarederror,4,0.77,1.0,130,1947
4357.554209332178,reg:squarederror,4,0.77,0.9,130,1950
4357.635044828683,reg:squarederror,4,0.63,1.0,130,1948
4358.404160472938,reg:squarederror,4,0.73,0.9,130,1949
4359.888024238613,reg:squarederror,4,0.69,1.0,130,1950
4360.82325171267,reg:squarederror,4,0.57,1.0,130,1949
4361.565031731877,reg:squarederror,4,0.67,0.9,130,1949
4363.114790690289,reg:squarederror,4,0.6,0.9,130,1950
4363.117504700734,reg:squarederror,4,0.55,0.9,130,1950
4363.1756409663085,reg:squarederror,4,0.48,0.9,130,1949
4363.495670939957,reg:squarederror,4,0.59,1.0,130,1950
4363.833680572958,reg:squarederror,4,0.59,0.8,130,1950
4364.421932259142,reg:squarederror,4,0.53,0.9,130,1950
4364.75673813337,reg:squarederror,4,0.42,0.8,130,1950
4366.161944505551,reg:squarederror,4,0.6,0.8,130,1950
4366.687070552839,reg:squarederror,4,0.65,0.9,130,1949
4366.884600682989,reg:squarederror,4,0.66,0.9,130,1950
4367.115746447493,reg:squarederror,4,0.72,1.0,130,1945
4367.610442951462,reg:squarederror,4,0.55,0.8,130,1950
4368.224870548984,reg:squarederror,4,0.59,0.9,130,1949
4369.104406928542,reg:squarederror,4,0.55,1.0,130,1947
4369.90546838418,reg:squarederror,4,0.8,1.0,130,1949
4370.0007619694625,reg:squarederror,4,0.66,0.8,130,1949
4370.4004410490825,reg:squarederror,4,0.67,1.0,130,1950
4371.328865275381,reg:squarederror,4,0.7,1.0,130,1949
4371.943451325952,reg:squarederror,4,0.66,1.0,130,1950
4372.593747084327,reg:squarederror,4,0.45,1.0,130,1950
4373.000124309227,reg:squarederror,4,0.73,0.8,130,1945
4374.726839318685,reg:squarederror,4,0.52,1.0,130,1950
4374.830257168315,reg:squarederror,4,0.46,0.9,130,1950
4376.140107802559,reg:squarederror,4,0.44,0.9,130,1950
4376.827346195168,reg:squarederror,4,0.82,0.9,130,1950
4377.490207650285,reg:squarederror,4,0.69,0.8,130,1950
4378.104276993901,reg:squarederror,4,0.83,0.9,130,1950
4379.273202277912,reg:squarederror,4,0.75,0.9,130,1950
4379.677648309161,reg:squarederror,4,0.65,0.8,130,1950
4379.892264301809,reg:squarederror,4,0.6,0.7,130,1949
4380.198931848923,reg:squarederror,4,0.65,1.0,130,1949
4380.806624573187,reg:squarederror,4,0.44,0.8,130,1949
4381.575895993845,reg:squarederror,4,0.84,1.0,130,1948
4382.095155007275,reg:squarederror,4,0.63,0.9,130,1950
4382.113641663368,reg:squarederror,4,0.45,0.8,130,1950
4382.442092567612,reg:squarederror,4,0.79,0.9,130,1949
4383.10034225308,reg:squarederror,4,0.74,0.9,130,1948
4383.435911178878,reg:squarederror,4,0.45,0.9,130,1950
4383.603988931865,reg:squarederror,4,0.81,0.9,130,1946
4384.628887015584,reg:squarederror,4,0.46,0.7,130,1949
4384.641625817891,reg:squarederror,4,0.71,0.8,130,1948
4384.923084451082,reg:squarederror,4,0.63,0.8,130,1948
4385.540026351804,reg:squarederror,4,0.66,0.6,130,1950
4387.305176976952,reg:squarederror,4,0.57,0.7,130,1950
4388.246573690401,reg:squarederror,4,0.82,1.0,130,1948
4389.059451422137,reg:squarederror,4,0.74,0.7,130,1950
4389.108967507529,reg:squarederror,4,0.65,0.7,130,1948
4389.62029765112,reg:squarederror,4,0.74,0.8,130,1950
4389.640438100036,reg:squarederror,4,0.44,1.0,130,1950
4389.720121871045,reg:squarederror,4,0.76,0.9,130,1950
4390.786427619929,reg:squarederror,4,0.42,0.7,130,1949
4390.795320235229,reg:squarederror,4,0.48,0.7,130,1950
4390.998281965013,reg:squarederror,4,0.67,0.8,130,1949
4391.398643693796,reg:squarederror,4,0.57,0.8,130,1949
4391.763278515807,reg:squarederror,4,0.53,0.8,130,1948
4392.501954228624,reg:squarederror,4,0.43,0.8,130,1949
4392.687484901818,reg:squarederror,4,0.81,0.8,130,1950
4392.837717830502,reg:squarederror,4,0.72,0.9,130,1950
4393.675121826742,reg:squarederror,4,0.76,0.8,130,1948
4394.324535357709,reg:squarederror,4,0.43,1.0,130,1950
4394.386218105819,reg:squarederror,4,0.4,0.8,130,1950
4394.426082192194,reg:squarederror,4,0.78,0.8,130,1950
4394.553836716096,reg:squarederror,4,0.83,1.0,130,1950
4394.960843633982,reg:squarederror,4,0.46,0.8,130,1949
4395.2994529067655,reg:squarederror,4,0.41,0.8,130,1947
4395.669469724559,reg:squarederror,4,0.5,1.0,130,1949
4395.941208535993,reg:squarederror,4,0.69,0.7,130,1948
4397.094861386756,reg:squarederror,4,0.81,1.0,130,1950
4397.232361673115,reg:squarederror,4,0.8,0.8,130,1950
4398.071690433257,reg:squarederror,4,0.41,1.0,130,1950
4398.454488008765,reg:squarederror,4,0.7,0.8,130,1950
4399.442543610193,reg:squarederror,4,0.52,0.8,130,1950
4399.976252279825,reg:squarederror,4,0.38,0.8,130,1950
4400.192882097055,reg:squarederror,4,0.52,0.9,130,1950
4400.619332164454,reg:squarederror,4,0.55,0.7,130,1949
4401.275851294225,reg:squarederror,4,0.63,0.7,130,1950
4402.668767693442,reg:squarederror,4,0.5,0.8,130,1948
4402.8757949905375,reg:squarederror,4,0.5,0.7,130,1950
4403.219355089708,reg:squarederror,4,0.43,0.9,130,1950
4403.324824298145,reg:squarederror,4,0.53,0.7,130,1950
4403.431971996657,reg:squarederror,4,0.57,0.9,130,1949
4403.513273972952,reg:squarederror,4,0.79,1.0,130,1949
4404.202611624346,reg:squarederror,4,0.7,0.7,130,1950
4404.712130325777,reg:squarederror,4,0.8,0.9,130,1949
4404.898392673148,reg:squarederror,4,0.8,0.7,130,1950
4405.3076031286655,reg:squarederror,4,0.79,0.7,130,1948
4405.984603571477,reg:squarederror,4,0.84,0.8,130,1950
4406.088974463584,reg:squarederror,4,0.42,1.0,130,1950
4406.1739812775995,reg:squarederror,4,0.77,0.7,130,1950
4406.268003582361,reg:squarederror,4,0.44,0.7,130,1950
4406.724535325056,reg:squarederror,4,0.52,0.6,130,1950
4406.920805556579,reg:squarederror,4,0.52,0.7,130,1948
4408.385765650801,reg:squarederror,4,0.72,0.7,130,1950
4409.211692070902,reg:squarederror,4,0.41,0.7,130,1950
4409.742594082441,reg:squarederror,4,0.42,0.9,130,1950
4409.986052088269,reg:squarederror,4,0.81,0.7,130,1950
4412.05445829548,reg:squarederror,4,0.46,1.0,130,1950
4412.151295315978,reg:squarederror,4,0.84,0.9,130,1949
4412.534028220048,reg:squarederror,4,0.39,1.0,130,1950
4412.806985956635,reg:squarederror,4,0.75,0.7,130,1949
4413.830695850052,reg:squarederror,4,0.45,0.7,130,1950
4414.004673824868,reg:squarederror,4,0.83,0.8,130,1950
4414.989521120104,reg:squarederror,4,0.57,0.6,130,1949
4415.581074428239,reg:squarederror,4,0.85,1.0,130,1950
4416.7208789377355,reg:squarederror,4,0.48,0.8,130,1950
4417.023534297397,reg:squarederror,4,0.59,0.6,130,1950
4417.325320675848,reg:squarederror,4,0.71,0.6,130,1950
4418.339122624739,reg:squarederror,4,0.36,1.0,130,1950
4418.967211213815,reg:squarederror,4,0.59,0.7,130,1949
4419.852819209367,reg:squarederror,4,0.6,0.6,130,1950
4419.954563477955,reg:squarederror,4,0.68,0.7,130,1949
4420.439897586453,reg:squarederror,4,0.38,1.0,130,1950
4420.739257684262,reg:squarederror,4,0.46,0.6,130,1950
4420.896476891307,reg:squarederror,4,0.85,0.9,130,1947
4421.046930634016,reg:squarederror,4,0.53,0.6,130,1949
