MSE,objective,max_depth,learning_rate,subsample,colsample_bytree,n_estimators,Nodes NO
3659.543775025609,reg:squarederror,6,0.18,0.9,1.0,600,36360
3660.224155620133,reg:squarederror,6,0.18,0.8,1.0,700,42480
3661.336864052551,reg:squarederror,6,0.18,0.9,0.8,600,36435
3661.558081466638,reg:squarederror,6,0.18,0.9,0.9,600,36276
3661.889766406346,reg:squarederror,6,0.19,0.8,0.8,700,42351
3662.6637240118857,reg:squarederror,6,0.18,0.8,0.9,600,36235
3663.4558027776957,reg:squarederror,6,0.18,0.8,0.8,700,42456
3663.5390095277594,reg:squarederror,6,0.19,0.9,1.0,600,36369
3664.0954839689502,reg:squarederror,6,0.19,0.8,0.9,600,36343
3671.0912939727386,reg:squarederror,6,0.19,0.8,1.0,600,36255
3672.278731991288,reg:squarederror,6,0.19,0.9,0.9,500,30353
3672.7642071440087,reg:squarederror,6,0.19,1.0,0.8,500,30400
3676.0613698806505,reg:squarederror,6,0.19,1.0,0.9,500,30431
3677.4684116218427,reg:squarederror,6,0.18,0.8,0.8,600,36427
3678.925833914695,reg:squarederror,6,0.19,1.0,1.0,500,30347
3678.971030184122,reg:squarederror,6,0.19,0.8,0.8,600,36278
3679.2656095310035,reg:squarederror,6,0.18,1.0,0.9,500,30368
3682.214464615573,reg:squarederror,6,0.18,0.8,1.0,600,36385
3684.2267515660933,reg:squarederror,6,0.18,1.0,0.8,500,30615
3685.0826669568246,reg:squarederror,6,0.18,1.0,1.0,500,30323
3686.643515824038,reg:squarederror,6,0.19,0.8,0.9,500,30344
3688.0917679689414,reg:squarederror,6,0.18,0.9,0.9,500,30238
3689.0711148891546,reg:squarederror,6,0.18,0.9,1.0,500,30341
3689.1837119896763,reg:squarederror,6,0.19,0.9,1.0,500,30352
3690.15891121433,reg:squarederror,6,0.18,0.9,0.8,500,30391
3690.5089553498105,reg:squarederror,6,0.19,0.9,0.8,500,30402
3690.604423289339,reg:squarederror,6,0.18,0.8,0.9,500,30243
3694.87399307638,reg:squarederror,6,0.19,0.8,1.0,500,30268
3699.6760204696243,reg:squarederror,6,0.18,0.8,0.8,500,30327
3700.3085101325396,reg:squarederror,6,0.19,0.8,0.8,500,30264
3715.579806506434,reg:squarederror,6,0.18,0.8,1.0,500,30340
