MSE,objective,max_depth,learning_rate,colsample_bytree,n_estimators,Nodes NO
3655.5840579032492,reg:squarederror,6,0.18,0.8,600,36658
3684.2267515660933,reg:squarederror,6,0.18,0.8,500,30615
3728.404626510205,reg:squarederror,6,0.18,0.8,400,24558
3762.0000282178485,reg:squarederror,5,0.18,0.8,600,18406
3802.4050135785715,reg:squarederror,6,0.18,0.8,300,18524
3803.1709890693414,reg:squarederror,5,0.18,0.8,500,15370
3873.4618050686086,reg:squarederror,5,0.18,0.8,400,12307
3927.23637432334,reg:squarederror,6,0.18,0.8,200,12429
3966.592329223351,reg:squarederror,5,0.18,0.8,300,9262
3974.6302869790243,reg:squarederror,4,0.18,0.8,600,8984
4028.28663879224,reg:squarederror,6,0.18,0.8,150,9386
4037.098641611588,reg:squarederror,4,0.18,0.8,500,7495
4085.025071158057,reg:squarederror,6,0.18,0.8,130,8137
4123.772383507637,reg:squarederror,4,0.18,0.8,400,5999
4131.328808603206,reg:squarederror,5,0.18,0.8,200,6193
4259.735191006611,reg:squarederror,4,0.18,0.8,300,4500
4265.9424987949205,reg:squarederror,5,0.18,0.8,150,4649
4343.224222727496,reg:squarederror,5,0.18,0.8,130,4029
4433.014283563007,reg:squarederror,3,0.18,0.8,600,4199
4483.280323246675,reg:squarederror,4,0.18,0.8,200,3000
4522.568793536056,reg:squarederror,3,0.18,0.8,500,3500
4633.63521372839,reg:squarederror,3,0.18,0.8,400,2800
4684.241609397406,reg:squarederror,4,0.18,0.8,150,2250
4791.215980031763,reg:squarederror,4,0.18,0.8,130,1950
4808.214643733089,reg:squarederror,3,0.18,0.8,300,2100
5132.588527618396,reg:squarederror,3,0.18,0.8,200,1400
5422.546480908264,reg:squarederror,3,0.18,0.8,150,1050
5575.698593220305,reg:squarederror,3,0.18,0.8,130,910
