MSE,objective,max_depth,learning_rate,colsample_bytree,n_estimators,Nodes NO
3637.841890677881,reg:squarederror,6,0.18,0.7,600,36515
3639.0660048578943,reg:squarederror,6,0.2,0.7,600,36661
3640.1124897736445,reg:squarederror,6,0.19,0.7,600,36526
3641.4767829658517,reg:squarederror,6,0.2,0.9,600,36296
3645.3673181820027,reg:squarederror,6,0.19,0.9,600,36435
3645.644534560325,reg:squarederror,6,0.19,0.8,600,36407
3646.2134472911334,reg:squarederror,6,0.18,0.9,600,36406
3647.3378908053683,reg:squarederror,6,0.19,1.0,600,36316
3650.933283568533,reg:squarederror,6,0.19,0.6,600,36767
3651.6790634578947,reg:squarederror,6,0.18,0.6,600,36678
3652.4761516350122,reg:squarederror,6,0.18,1.0,600,36302
3654.6580735535426,reg:squarederror,6,0.2,1.0,600,36189
3654.7467220257067,reg:squarederror,6,0.17,0.9,600,36283
3654.7596936078626,reg:squarederror,6,0.2,0.6,600,36641
3654.8340455694197,reg:squarederror,6,0.15,0.7,600,36528
3655.5840579032492,reg:squarederror,6,0.18,0.8,600,36658
3657.2440684233243,reg:squarederror,6,0.17,0.7,600,36626
3657.594176679066,reg:squarederror,6,0.16,0.8,600,36513
3658.2384409120177,reg:squarederror,6,0.17,0.8,600,36391
3658.3286607736613,reg:squarederror,6,0.2,0.8,600,36386
3658.5078446305397,reg:squarederror,6,0.17,0.6,600,36693
3661.562518015729,reg:squarederror,6,0.17,1.0,600,36243
3663.558142315104,reg:squarederror,6,0.16,0.6,600,36709
3665.8255620036985,reg:squarederror,6,0.14,0.7,600,36673
3666.4550250319085,reg:squarederror,6,0.15,0.8,600,36500
3666.790577996916,reg:squarederror,6,0.15,0.9,600,36502
3668.004250710865,reg:squarederror,6,0.16,1.0,600,36226
3670.1487246083793,reg:squarederror,6,0.16,0.9,600,36362
3670.2104773451965,reg:squarederror,6,0.16,0.7,600,36594
3670.624887976567,reg:squarederror,6,0.15,1.0,600,36379
3674.5973726233033,reg:squarederror,6,0.13,0.7,600,36794
3674.709069100074,reg:squarederror,6,0.14,0.6,600,36862
3675.547162366323,reg:squarederror,6,0.15,0.6,600,36839
3678.5126679148357,reg:squarederror,6,0.14,1.0,600,36299
3680.7879824320976,reg:squarederror,6,0.14,0.9,600,36405
3682.3648600662755,reg:squarederror,6,0.14,0.8,600,36511
3682.5863683718894,reg:squarederror,6,0.13,0.8,600,36616
3684.902125178654,reg:squarederror,6,0.13,0.6,600,36970
3685.898959259418,reg:squarederror,6,0.12,0.7,600,36658
3687.387015864124,reg:squarederror,6,0.13,0.9,600,36352
3690.608424605544,reg:squarederror,6,0.13,1.0,600,36472
3696.663347474905,reg:squarederror,6,0.12,0.8,600,36628
3700.3776159126,reg:squarederror,6,0.12,0.9,600,36462
3702.4049721559154,reg:squarederror,6,0.12,0.6,600,36984
3705.540957032489,reg:squarederror,6,0.11,0.7,600,36925
3706.091729297523,reg:squarederror,6,0.12,1.0,600,36379
3708.389621398466,reg:squarederror,6,0.11,0.6,600,37089
3715.626210508703,reg:squarederror,6,0.11,0.8,600,36777
3716.187517908011,reg:squarederror,6,0.11,0.9,600,36546
3719.734628738978,reg:squarederror,6,0.1,0.7,600,37092
3725.8120652640455,reg:squarederror,6,0.11,1.0,600,36494
3726.5091619645073,reg:squarederror,6,0.1,0.8,600,36727
3727.3267151600967,reg:squarederror,6,0.1,0.9,600,36666
3729.6181813896105,reg:squarederror,6,0.1,0.6,600,37129
3738.711642347712,reg:squarederror,6,0.1,1.0,600,36584
