MSE,objective,max_depth,learning_rate,colsample_bytree,n_estimators,Nodes NO
3882.0860378225307,reg:squarederror,4,0.74,1.0,600,8983
3972.3512636925457,reg:squarederror,5,0.74,1.0,600,18348
3984.195210232763,reg:squarederror,5,0.74,1.0,300,9198
4000.68517167884,reg:squarederror,5,0.74,1.0,275,8428
4015.864298361913,reg:squarederror,4,0.74,1.0,300,4496
4019.833855342227,reg:squarederror,3,0.74,1.0,600,4199
4045.4704507237793,reg:squarederror,4,0.74,1.0,275,4122
4057.1545946787987,reg:squarederror,5,0.74,1.0,200,6137
4074.741393385028,reg:squarederror,6,0.74,1.0,200,12264
4075.041792625233,reg:squarederror,6,0.74,1.0,275,16810
4076.240371628258,reg:squarederror,6,0.74,1.0,300,18317
4104.5408227503995,reg:squarederror,6,0.74,1.0,150,9250
4124.868184811606,reg:squarederror,6,0.74,1.0,130,8005
4147.255036750878,reg:squarederror,5,0.74,1.0,150,4614
4161.168947820898,reg:squarederror,4,0.74,1.0,200,2997
4165.141609542268,reg:squarederror,6,0.74,1.0,600,36501
4196.380196923963,reg:squarederror,5,0.74,1.0,130,4000
4277.020865625699,reg:squarederror,3,0.74,1.0,300,2100
4280.4370557706125,reg:squarederror,4,0.74,1.0,150,2248
4319.092897106395,reg:squarederror,3,0.74,1.0,275,1925
4338.286588674741,reg:squarederror,4,0.74,1.0,130,1949
4470.716845056712,reg:squarederror,3,0.74,1.0,200,1400
4634.458665151751,reg:squarederror,3,0.74,1.0,150,1050
4715.02064931426,reg:squarederror,3,0.74,1.0,130,910
